continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Americas,Bahamas,BHS,Shell,2003,9,146,-76,24.25
Americas,Nicaragua,NIC,Fish,2003,4,627,-85,13
Europe,Hungary,HUN,Bird,2003,3,41,20,47
Europe,Hungary,HUN,Spider,2003,1,41,20,47
Europe,Hungary,HUN,Coral,2003,1,41,20,47
Oceania,New Caledonia,NCL,Other,2003,5,40,165.5,-21.5
Africa,Morocco,MAR,Shell,2003,1,19,-5,32
Americas,Cayman Islands,CYM,Shell,2003,1,23,-81.198,19.314
Americas,Peru,PER,Plant,2003,2,1200,-75.552,-9.326
Oceania,Fiji,FJI,Crustacean,2003,5,5743,177.974,-17.819
Asia,Kuwait,KWT,Reptile,2003,1,48,47.376,29.476
Africa,Morocco,MAR,Bird,2003,2,19,-5,32
Africa,Morocco,MAR,Reptile,2003,3,19,-5,32
Asia,Georgia,GEO,Fish,2003,1,37,43.518,42.176
Africa,Côte d’Ivoire,CIV,Shell,2003,3,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Reptile,2003,4,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Coral,2003,1,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Fish,2003,2,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Insect,2003,3,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Other,2003,1,19,-5.556,7.632
Africa,Côte d’Ivoire,CIV,Annelid,2003,1,19,-5.556,7.632
Africa,Uganda,UGA,Bird,2003,2,102,32,1
Americas,Ecuador,ECU,Reptile,2003,4,859,-78.497,-1.385
Americas,Belize,BLZ,Crustacean,2003,5,264,-88.602,17.219
Americas,Belize,BLZ,Other,2003,4,264,-88.602,17.219
Americas,Trinidad & Tobago,TTO,Amphibian,2003,8,688,-61,11
Oceania,Wallis & Futuna,WLF,Amphibian,2003,1,1,-176.2,-13.3
Europe,Spain,ESP,Amphibian,2003,2,3208,-3.649,40.227
Americas,Cuba,CUB,Bird,2003,2,7,-80,21.5
Asia,United Arab Emirates,ARE,Reptile,2003,1,67,54,24
Americas,Costa Rica,CRI,Coral,2003,1,899,-83.946,9.971
Africa,Benin,BEN,Amphibian,2003,1,165,2.25,9.5
Oceania,New Zealand,NZL,Coral,2003,2,2548,174,-41
Americas,El Salvador,SLV,Bird,2003,2,372,-88.866,13.736
Americas,Guyana,GUY,Other,2003,3,1481,-59,5
Americas,Jamaica,JAM,Amphibian,2003,1,47,-77.5,18.25
Africa,Congo - Kinshasa,COD,Other,2003,1,69,25,0.0166666666667
Europe,Denmark,DNK,Fish,2003,4,161,10,56
Africa,South Africa,ZAF,Crustacean,2003,1,25797,23.121,-30.558
Asia,Cambodia,KHM,Reptile,2003,1,17,105,13
Americas,United States,USA,Insect,2003,2,78,-97,38
Africa,Uganda,UGA,Fish,2003,1,102,32,1
Africa,Burkina Faso,BFA,Mammal,2003,5,7,-1.74,12.278
Europe,Denmark,DNK,Shell,2003,6,161,10,56
Europe,Austria,AUT,Shell,2003,3,514,13.3333333333,47.3333333333
Oceania,Fiji,FJI,Reptile,2003,2,5743,177.974,-17.819
Africa,Cameroon,CMR,Bird,2003,2,240,12,6
Asia,Mongolia,MNG,Shell,2003,1,122,105,46
Asia,Indonesia,IDN,Spider,2003,5,32338,114.252,-0.976
Americas,Panama,PAN,Fish,2003,30,228,-80.92,8.384
Americas,Bermuda,BMU,Reptile,2003,5,14,-64.75,32.3333333333
Europe,Malta,MLT,Fish,2003,1,1,14.5833333333,35.8333333333
Europe,Netherlands,NLD,Coral,2003,1,197,5.389,52.077
Africa,Senegal,SEN,Bird,2003,3,13,-14.881,15.013
Asia,Indonesia,IDN,Plant,2003,2,32338,114.252,-0.976
Africa,Madagascar,MDG,Coral,2003,1,899,47,-20
Asia,Iran,IRN,Mammal,2003,1,53,53,32
Asia,Azerbaijan,AZE,Mammal,2003,11,57,47.395,40.43
Americas,Haiti,HTI,Mammal,2003,2,1695,-72.4166666667,19
Asia,Philippines,PHL,Annelid,2003,15,31015,122,13
Oceania,Marshall Islands,MHL,Other,2003,6,355,168,9
Africa,Sudan,SDN,Mammal,2003,2,2,30,15
Europe,Albania,ALB,Other,2003,1,1,20,41
Americas,Guatemala,GTM,Insect,2003,1,255,-90.25,15.5
Americas,Honduras,HND,Other,2003,1,562,-86.5,15
Americas,Colombia,COL,Other,2003,1,1395,-73.076,3.9
Europe,Romania,ROU,Bird,2003,3,91,25,46
Africa,Tanzania,TZA,Crustacean,2003,1,5317,35,-6
Americas,Chile,CHL,Reptile,2003,4,130,-71,-30
Africa,Zambia,ZMB,Shell,2003,1,480,30,-15
Africa,Zambia,ZMB,Bird,2003,4,480,30,-15
Africa,Madagascar,MDG,Shell,2003,4,899,47,-20
Oceania,New Caledonia,NCL,Crustacean,2003,1,40,165.5,-21.5
Asia,Kuwait,KWT,Mammal,2003,3,48,47.376,29.476
Americas,Jamaica,JAM,Other,2003,1,47,-77.5,18.25
Africa,Nigeria,NGA,Coral,2003,1,612,8,10
Oceania,Solomon Islands,SLB,Bird,2003,26,2278,159,-8
Americas,Guatemala,GTM,Plant,2003,1,255,-90.25,15.5
Africa,Benin,BEN,Other,2003,1,165,2.25,9.5
Americas,Peru,PER,Other,2003,5,1200,-75.552,-9.326
Africa,Liberia,LBR,Mammal,2003,2,4,-9.5,6.5
Asia,Indonesia,IDN,Annelid,2003,6,32338,114.252,-0.976
Europe,Estonia,EST,Mammal,2003,1,2,25.793,58.674
