SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
CVCV,A,AU,LE,CAUDIVERBERA,CAUDIVERBERA, ,HELMETED WATER,TOAD,AMPHIBIAN
CXL?,A,AU,RH,CHIRIXALUS,SPECIES,,ASIAN TREE,FROG,AMPHIBIAN
CYOR,A,CX,SL,CYNOPS,ORIENTALIS, ,CHINESE DWARF,NEWT,AMPHIBIAN
CYPY,A,CX,SL,CYNOPS,PYRRHOGASTER, ,JAPANESE FIREBELLY,NEWT,AMPHIBIAN
CYPY,A,CX,SL,PYROGASTER,TRITURUS,,CYNOPS,PYRRHOGASTER,AMPHIBIAN
CYPY,A,CX,SL,TRITURUS,PYRRHOGASTER,,CYNOPS,PYRRHOGASTER,AMPHIBIAN
DAZU,A,AU,DN,EPIPEDOBATES,AZUREIVENTRIS, ,SKY-BLUE,POISON-ARROW FROG,AMPHIBIAN
DAZU,A,AU,DN,PHYLLOBATES,AZUREIVENTRIS, ,EPIPEDOBATES,AZUREIVENTRIS,AMPHIBIAN
DAZU,A,AU,DN,DENDROBATES,AZUREIVENTRIS, ,EPIPEDOBATES,AZUREIVENTRIS,AMPHIBIAN
DBOM,A,AU,DN,MINYOBATES,BOMBETES, ,CAUCA,POISON-ARROW FROG,AMPHIBIAN
DBOM,A,AU,DN,DENDROBATES,BOMBETES, ,MINYOBATES,BOMBETES,AMPHIBIAN
DBOU,A,AU,DN,EPIPEDOBATES,BOULENGERI, ,MARBLED,POISON-ARROW FROG,AMPHIBIAN
DBOU,A,AU,DN,PROSTHERAPIS,BOULENGERI,,EPIPEDOBATES,BOULENGERI,AMPHIBIAN
DBOU,A,AU,DN,PROSTHERAPIS,FEMORALIS,,EPIPEDOBATES,BOULENGERI,AMPHIBIAN
DBOU,A,AU,DN,DENDROBATES,BOULENGERI, ,EPIPEDOBATES,BOULENGERI,AMPHIBIAN
DBOU,A,AU,DN,COLOSTETHUS,BOULENGERI,,EPIPEDOBATES,BOULENGERI,AMPHIBIAN
DBOU,A,AU,DN,PHYLLOBATES,BOULENGERI,,EPIPEDOBATES,BOULENGERI,AMPHIBIAN
DCAS,A,AU,DN,DENDROBATES,CASTANEOTICUS, ,BRAZIL-NUT,POISON-ARROW FROG,AMPHIBIAN
DCLD,A,AU,DN,DENDROBATES,CLAUDIAE,,,POISON-ARROW FROG,AMPHIBIAN
DEAB,A,AU,DN,MINYOBATES,ABDITUS, ,COLLINS',POISON-ARROW FROG,AMPHIBIAN
DEAB,A,AU,DN,DENDROBATES,ABDITUS, ,MINYOBATES,ABDITUS,AMPHIBIAN
